node1,node2,label
28487,43136,1
26626,13424,0
46286,36391,1
36612,20297,0
11785,17390,1
14275,2161,0
1517,44343,1
10156,29972,1
34934,16210,0
43306,23140,1
12962,10495,1
51750,22041,0
41692,51742,0
32225,20177,1
2593,12709,0
25246,26005,1
11519,12104,0
37167,4286,1
37878,23230,1
3652,35787,0
4788,40527,1
19094,2063,1
48083,39128,0
51475,22052,1
2218,32474,1
21240,17064,0
41656,11327,0
26150,14256,1
36022,23070,1
30797,21975,0
50882,4006,0
51116,26869,1
47385,9605,1
17259,39389,1
46784,47153,0
31683,51680,0
18287,40291,1
23442,30648,1
49036,20086,0
1572,46655,0
43254,20754,1
47492,19298,1
4958,46293,1
16901,38220,1
45945,2401,0
17678,20177,1
52056,35840,0
21126,52320,0
9273,29070,0
33979,12774,1
20232,27261,1
35489,47410,1
28624,32220,0
37376,42053,1
15674,7140,0
42702,21325,1
48609,4883,0
44078,25246,1
46238,609,0
8044,4602,0
3990,41817,0
3898,22744,0
19344,15332,0
5038,11616,0
47813,49840,1
1152,2230,0
51582,52302,1
49671,23930,1
36401,11124,0
40317,37171,0
52392,46913,1
37783,575,0
2811,1037,1
41252,44049,1
15067,21246,0
41009,34144,0
25058,1906,0
41395,14082,0
42108,27087,0
5263,47817,1
676,9189,0
13015,48131,0
17779,51801,1
34967,36650,0
13074,47521,0
30377,37687,1
43776,11100,0
2678,8137,1
41022,19590,0
22721,2033,0
42722,39658,0
36770,40403,1
14805,32026,1
17922,6681,0
7612,24097,0
22317,32482,1
6549,21351,1
16373,8371,1
43376,30648,0
13228,6011,0
44948,35979,1
23958,16427,0
38117,37380,1
29547,36083,0
12890,48381,1
33566,21069,1
49411,658,0
50900,38626,1
26511,2493,0
38288,16341,1
39090,17213,0
43099,40982,0
52080,7574,0
9781,2911,1
48149,11357,0
27085,1257,0
34131,24015,0
19413,28553,0
15840,10739,0
28352,46727,0
32779,2260,1
43572,1388,0
38441,51360,0
28081,8408,1
41524,11481,0
48110,34740,0
2827,36753,0
50870,33195,0
37683,48786,0
27392,24171,0
16107,8337,1
36464,23573,1
37087,31963,0
51498,42394,0
21849,33566,0
12815,7381,0
40737,8014,1
37140,46666,0
43122,38946,1
46691,43231,0
24173,12538,0
33610,5242,1
13692,6851,1
32763,9700,0
5512,3987,1
34731,50081,0
5110,2853,0
39972,4977,0
41391,35346,0
48121,22542,0
49306,2911,1
23200,39314,0
24758,33400,1
25638,5553,0
46119,42987,1
43387,37646,0
30797,19472,0
40172,21511,0
27023,9436,1
10992,11978,0
1592,16850,1
10889,3044,0
1088,22932,0
31661,26743,0
20462,37778,0
21638,34160,1
33558,39828,0
30367,5381,1
20051,31063,1
43855,40204,0
15530,38709,0
20291,41369,0
40907,25978,0
32793,23826,0
26197,20977,0
12092,43067,0
22636,27823,0
34221,11037,1
52065,21843,1
49219,1593,1
25979,19288,0
27319,5879,0
5512,22303,1
47675,17597,0
14243,5372,0
15332,39124,0
48624,39007,0
33673,33689,1
49552,16664,0
5440,16935,1
32266,4460,1
18967,17790,0
13469,42360,0
31432,51943,1
1142,1773,0
11084,8789,1
11824,16568,1
6667,8678,0
45957,51239,1
3789,32494,1
32758,35970,0
21296,22865,0
11693,41691,1
24810,12146,0
9428,21338,0
10451,17807,0
45957,11,1
33724,6053,0
22849,18538,0
16619,25369,0
22888,21202,1
350,42479,1
8973,28650,0
1031,44924,0
8682,946,0
36120,26645,0
11896,13725,1
36762,5542,1
1958,51588,1
17741,19025,0
8865,37826,1
47397,21041,0
9066,1277,1
24005,6061,0
33497,49446,1
28717,6501,0
28813,37229,1
1876,40901,0
2734,23785,0
19704,6116,0
2910,39989,0
47000,24881,0
37228,3650,0
26459,8949,0
24418,7202,0
25442,26156,0
37347,23619,1
12435,28183,0
11630,40584,1
1731,15853,0
2187,21064,1
30603,1431,0
3161,20597,1
133,29810,1
1653,14165,0
35451,8051,1
48538,9175,0
46057,12884,0
39839,44606,0
5663,31056,0
14373,36240,1
20961,10363,0
41077,2687,0
42673,7988,0
14971,30638,0
7089,21754,0
28759,41859,0
15519,14517,1
27614,3480,1
51862,40930,1
5726,29402,1
39659,37828,0
13933,31827,0
8223,7344,0
5565,4910,0
37424,43179,0
39225,38502,1
26585,20234,1
38626,30419,1
16968,22950,1
20628,22757,0
23864,48786,1
6771,11196,0
6598,39680,1
34697,17676,0
40957,5840,0
8277,14825,0
21961,40930,1
15369,46590,0
30971,47000,0
9749,21055,0
23984,32027,0
39158,9442,1
48826,48999,1
20828,41086,0
18608,1016,0
45068,8268,0
861,19323,0
31470,578,0
49833,28042,0
49844,34516,0
6293,9368,1
47190,5659,0
16613,18074,0
20351,23538,1
16125,51165,1
24298,22228,1
13619,22997,0
7677,45296,0
11650,35448,1
43912,4292,1
31569,41022,1
2210,51029,0
546,38524,0
32863,19160,0
9285,36328,0
10358,9504,1
5773,48624,1
40648,50876,0
32340,44542,0
16522,13525,0
7817,28116,0
20860,48304,1
47444,32004,1
3746,46366,1
41119,4470,1
37167,31649,1
22620,30701,0
12153,34444,0
27066,46906,0
16419,42915,0
21029,42149,1
33299,27059,1
24103,12507,0
5736,28219,0
42479,19657,1
46957,28554,0
29779,39851,0
31936,43278,0
6412,43645,1
47211,49489,0
32377,8941,1
27340,11993,1
48020,45740,1
27930,16851,0
28813,28176,1
13685,46221,0
51627,38753,0
2828,30869,0
20052,41751,0
4788,43180,1
6419,41218,0
17544,35938,1
5416,11852,1
27902,37532,0
896,17135,0
51634,46137,0
4048,12690,0
2607,32028,1
37989,1493,0
9011,16180,0
25229,39316,0
27630,21412,0
18618,17495,0
30707,39205,0
23927,27589,0
619,42318,0
22693,18431,0
24355,38825,0
44730,6708,0
30242,4721,1
17925,7166,0
38247,15985,0
40727,5235,0
21464,33347,1
32885,49253,1
10524,9751,0
2043,47983,0
27436,10030,0
25029,49835,0
24134,28954,0
26673,31706,0
51168,19769,1
35240,35924,0
39117,29416,1
7743,30473,0
46477,16403,0
29498,13504,1
34689,9594,0
23394,33016,1
32992,37631,1
4070,29138,0
1374,35734,1
44831,16617,0
15189,3768,0
15156,13972,1
16351,26858,0
807,47718,0
34308,37606,0
51226,242,1
10038,51507,1
10522,46390,0
5365,1175,0
36874,28831,0
39984,11791,0
21928,3615,0
3765,8062,0
14302,47975,1
8247,40809,0
7019,36216,0
19811,48937,0
3888,47381,1
4435,29815,0
1724,11043,0
24872,44152,0
50900,49669,1
31981,42751,0
41774,45543,1
790,42158,0
36399,42699,0
2435,34636,1
15063,20023,1
16052,39581,0
34888,24365,0
48623,8235,1
39685,23715,1
35256,18009,0
25837,15257,0
41709,18991,0
13461,47381,1
33453,9064,0
15659,42391,0
25433,33390,0
20023,22471,0
5596,38907,0
15849,36335,0
37397,51318,1
20707,40876,1
25351,50119,0
11756,23859,0
24218,43769,1
40961,15320,1
20743,8521,1
15451,39939,0
27614,16535,1
32413,32931,0
52091,23812,1
18460,22659,0
35895,15233,0
13462,9081,0
3848,6858,0
1938,22569,0
18694,334,0
5458,27406,0
39963,36439,0
39680,15226,1
8682,49706,0
3720,40150,0
7710,6458,1
42677,51507,1
30936,13579,0
38474,44087,0
31243,17318,0
37528,16929,1
38451,45880,0
24701,12134,0
45023,43180,1
21872,5719,0
23119,51154,1
50529,46938,1
17481,44299,0
24088,20745,0
15117,2607,1
30249,24218,1
4596,7341,1
38026,50194,0
38275,50870,1
19813,45277,0
39574,34120,0
32790,6190,1
41600,30097,0
17722,42810,0
15285,910,0
6636,37706,1
46959,23616,1
39426,32655,1
45360,29792,1
4836,11283,1
19878,18101,1
9302,1674,1
16153,23654,0
44350,11621,1
48437,44512,0
24967,19137,0
51570,33003,1
33394,11332,1
51752,16307,0
12706,38444,0
32521,1097,0
24224,28621,0
14274,4527,0
42990,48555,0
2750,2846,0
38292,40274,0
529,43319,1
48689,22154,1
10539,38532,1
26319,51344,0
15245,248,1
3968,14051,0
22180,37069,1
48660,28655,1
51718,22831,0
3853,20441,0
49232,44371,0
4123,16275,0
39033,48448,1
4911,25663,1
11485,43180,1
43918,14668,0
16461,41,0
18101,45740,1
23965,35327,1
26520,50998,1
45573,37064,1
26383,37303,0
49226,33303,0
14182,35883,1
15289,40753,1
26904,23868,1
20366,47556,0
44530,36066,0
42997,11642,1
7915,28143,0
21185,48686,0
22678,32113,0
24194,21942,0
43033,44496,1
36709,10898,0
40414,34812,1
38717,16778,1
31120,30662,0
1529,29742,0
39371,37159,1
38823,18039,0
48948,39197,0
50953,12203,0
4229,9935,0
47764,6015,0
36770,11760,1
23529,51040,1
33726,11445,0
51787,36102,1
23693,12982,0
28782,32979,0
1572,18678,0
46931,6099,0
12888,42610,0
34278,13618,0
36644,51558,1
26640,17750,1
46920,48300,0
18694,42509,1
47919,50322,1
49256,37228,0
6894,51057,1
46622,24059,0
12777,30643,1
37063,6526,0
3131,38980,1
744,1845,1
27124,48120,0
47011,1197,1
14898,38213,0
50173,32100,1
649,43015,0
32772,5695,1
36247,15925,1
4757,34310,1
43027,27057,0
5230,19933,1
20160,18512,1
41572,20902,0
5230,5512,1
31099,26900,0
40680,26398,1
38597,31535,1
46853,47691,0
16405,7772,1
27862,27059,1
50165,4612,0
46998,45867,0
35888,46111,0
39027,952,0
46257,50107,0
12835,5938,0
40912,2468,0
19922,23286,1
49063,34905,0
49538,9042,1
16831,51761,0
43991,16783,1
32752,50926,0
46487,2670,1
19769,50563,1
3495,49096,1
14018,28389,1
3137,31586,1
23266,41987,0
42134,41319,0
50875,38438,1
37719,8205,0
1997,31392,0
26520,5497,1
14633,42945,1
14435,42754,1
15331,25499,0
1242,52111,1
36588,3017,0
38273,23488,0
674,30867,0
52347,11760,1
52064,41639,1
16127,14497,0
51547,36936,0
24084,48702,0
16969,4566,0
11852,33491,1
4221,46675,0
37998,30943,1
26504,2832,0
1965,11078,0
28798,12199,0
37305,51193,1
5279,36667,0
29339,44394,1
15883,42336,1
44531,33622,1
8675,22969,1
9259,43893,1
28517,37252,1
22609,20808,0
51239,46663,1
27474,43935,0
37765,49573,0
40363,14073,1
14209,16101,0
12249,37649,0
47983,52165,1
10420,31214,0
47730,1194,0
25171,50742,1
27352,29549,0
6479,38100,1
24158,25145,0
41133,44624,0
48564,31412,0
49988,21160,0
45530,8969,0
23646,16207,1
22502,40960,1
37693,30296,1
35248,45680,0
41712,26646,0
30258,20755,0
21721,10665,1
48235,51575,1
9057,47946,0
28073,12528,0
25496,7921,0
51573,2432,0
23316,18214,1
39421,1227,0
13959,4607,0
49640,52074,1
26350,48513,0
6212,36713,0
36542,7812,0
47237,27303,1
8124,15943,0
14368,23305,1
49595,21497,0
47632,27717,0
38098,28027,0
45192,40212,0
6948,26709,1
41676,43409,0
22932,13669,0
601,29031,0
27958,2818,0
36155,2502,1
9217,36238,1
42751,19034,0
40325,2470,0
2178,16978,1
20791,37008,1
41315,18727,0
27648,10383,0
9786,6581,1
26539,27763,0
35255,18408,1
30249,4423,1
5221,37218,0
44398,34372,0
47880,43916,0
67,32026,0
20471,2274,0
19749,25324,1
6179,6127,1
33748,44496,1
52091,38768,1
31524,39087,0
7710,32772,1
10431,14265,1
188,1213,0
40930,4911,1
35198,35,0
23324,14258,0
50173,4426,1
24609,34615,0
9259,26974,1
45278,51323,0
37130,48999,1
4845,51942,0
11399,49500,0
35601,33512,1
12279,6296,0
4008,30020,0
26570,49351,0
47187,43506,0
45120,19027,0
17307,30271,0
15597,34248,0
51756,43648,0
5111,44737,0
3909,19571,0
958,32670,0
15841,42251,0
44531,30554,1
2192,45847,1
49078,47250,0
2894,17799,0
22272,36501,1
46304,30554,1
2855,44200,0
25884,528,0
6353,49329,0
23409,25243,0
20551,8616,0
29799,29952,0
46646,18605,0
38751,38985,1
16504,43688,1
9722,692,0
27947,37745,0
41914,23168,0
49484,23384,0
1710,37541,1
37128,40497,0
5416,9967,1
38391,26380,1
43948,8108,1
20633,5079,0
22202,812,0
43023,19139,1
2100,40195,0
40410,22691,0
24604,23184,1
18793,2750,1
1630,11084,1
49171,5497,1
18129,37612,1
5018,47794,0
37363,51021,1
15080,44655,0
5498,24906,1
15289,4209,1
15739,33804,0
46726,30526,0
43265,13437,0
2509,23692,0
11766,1386,0
32753,14479,0
24113,9596,0
9043,26915,1
45075,7341,1
10730,17221,0
49769,32346,0
17810,3908,0
37989,50836,0
10921,32675,1
41941,26405,0
5883,9344,0
37236,11394,0
44609,1015,0
41180,8812,1
52,30451,0
46280,38215,0
43258,47203,0
39888,36177,0
42180,20931,0
7523,6807,1
12348,41923,1
45768,12414,1
286,33599,0
42464,23508,0
12990,18200,0
4749,11891,0
12082,36209,0
21446,15862,1
49397,35566,0
45512,1449,1
350,46286,1
32468,11418,1
14948,36309,0
16702,36821,0
30326,50009,0
23085,43912,1
31795,13586,0
4459,8307,0
51726,37696,0
20743,49538,1
19425,47398,0
20349,51666,0
22915,46354,0
28912,40637,0
47840,28482,1
51314,4916,0
36521,48696,0
32202,28695,0
36498,30937,1
29643,24511,0
1471,42623,0
51849,34951,1
46995,51132,0
10971,15911,1
26889,18700,1
34989,52334,0
44209,8237,0
14168,24599,0
208,20634,0
32281,28591,0
2711,16708,0
11762,9442,1
35504,4424,0
25325,14876,0
19125,28487,0
15979,24704,0
43550,35041,0
49907,18468,0
32860,7768,0
51353,12248,0
42974,8892,1
28251,50933,0
27331,45470,1
49441,22008,1
18332,26513,1
41062,3183,0
39551,27601,0
24743,45126,0
25759,52255,0
20791,16504,1
13516,33396,0
30188,16418,0
45110,15175,0
44733,5163,0
38095,42582,0
38321,31639,1
5824,26851,0
49745,36843,0
29515,42464,1
4921,20710,0
35880,4358,1
27010,12014,1
22121,50083,1
51005,1756,0
16282,9425,0
10256,4317,0
39894,15820,0
33466,45440,1
46397,3355,0
33497,51564,1
6578,27935,0
554,5942,0
43993,4888,0
29067,51993,1
36429,14680,1
27929,11852,1
20870,26045,0
11204,37028,1
11324,18368,0
11693,3685,1
41782,23865,0
39028,29589,0
16105,15507,0
15117,4453,1
27201,4416,1
24741,23982,0
35574,8070,0
6016,43435,0
34701,22690,1
30792,41170,0
28813,4453,1
12626,30724,0
26240,37537,0
23550,1073,0
20865,13612,0
46264,48443,1
23083,45278,1
20821,21468,0
31785,26680,0
44980,46918,0
4323,112,0
35945,23864,1
21109,39806,0
12072,18262,1
47178,13447,0
16431,51048,1
27598,29140,0
37518,34975,1
25384,51490,0
27991,5531,1
5295,39894,1
37786,339,0
10238,24803,0
18412,11084,1
12576,24571,1
22816,40808,1
4773,40531,0
30874,8447,0
12348,17067,1
4729,28750,0
42791,33757,0
3428,43769,1
33684,24577,1
7710,48020,1
40852,4669,1
30937,12535,1
43164,22925,0
40193,23238,0
6035,48072,0
18555,33282,0
27206,58,0
34263,7353,1
40286,30503,0
27945,41247,0
13742,12712,0
46821,36214,1
29628,30022,0
8153,2812,1
38654,28497,1
46381,52259,0
32053,25189,0
17279,1319,0
11828,2267,0
33032,20538,0
33523,33969,0
8219,5073,0
18565,51564,1
20860,187,1
26409,26502,0
38505,52168,0
8153,33463,0
28472,2739,0
15063,50280,1
37880,25113,0
32760,9537,0
26685,6914,0
40565,38740,0
50013,5612,0
2206,19303,0
46844,25164,0
23458,51575,1
10531,12287,0
23459,22997,1
28535,48786,1
3109,3987,1
39203,27175,0
45800,17858,1
6964,23763,0
3746,3680,1
39455,49612,0
41692,42438,1
29087,33719,1
7673,50155,0
23505,29313,1
20504,24387,0
18529,13097,0
5538,48591,0
22057,10263,0
39570,1719,0
2501,40672,1
48613,42592,1
29053,23653,0
14980,7614,1
45111,38527,0
27116,22334,0
34830,50803,1
23551,46183,0
27066,44043,1
47825,44650,1
19871,14237,0
21961,18114,1
3161,21069,1
27582,28636,0
20779,27298,1
16204,34033,0
20824,23155,0
24182,43260,0
18947,11337,0
19933,32840,1
50777,15132,0
16574,45815,1
2073,20328,0
34838,33047,0
562,29154,0
24543,35762,0
38768,30249,1
48191,30104,1
51852,23322,1
48414,47484,0
12627,19791,0
28662,34097,1
8929,41246,0
17578,784,1
7644,35431,0
17693,22459,1
20382,9825,0
23152,27561,0
31423,10623,1
21936,47080,1
25039,33486,0
6534,25592,1
14310,37718,0
38029,45155,0
3680,48381,0
14896,27009,0
25313,33797,1
37385,26482,0
26793,49411,0
23945,35120,1
1860,29219,0
51672,49692,0
4126,19042,1
31925,25574,0
51910,16377,1
33451,21929,0
29067,40827,1
25327,31931,0
11528,44806,0
11084,40899,1
38031,39524,0
31530,32730,0
35318,14136,0
28951,27933,0
18384,24623,1
2411,3926,0
25778,46647,0
20344,19478,0
5440,21025,1
47935,8789,0
2416,37514,1
38382,35520,0
18234,3742,0
38300,47253,0
46849,10774,0
16834,15765,0
28990,27023,0
27016,48888,1
24424,36391,1
26048,32416,0
15456,41625,0
8940,15129,0
2729,52404,0
44178,17002,0
4474,21459,0
16900,27852,0
34700,16512,1
31070,11756,0
9546,10535,0
38264,17390,1
13036,27783,0
33299,37232,1
43713,45274,0
13885,26077,0
6005,48297,1
31934,14087,0
15120,8430,0
20779,5883,1
36209,23734,0
41875,19362,0
17998,36672,0
1699,29469,0
14827,38231,0
45111,14402,0
907,10491,0
48991,25573,1
24608,37716,0
4869,11595,0
36273,22953,0
28169,16497,0
7889,14872,0
12022,42997,1
50973,30135,0
31748,52019,0
23681,25009,0
13730,40604,1
17993,11046,1
21256,36694,1
12900,26971,0
35713,18827,1
24709,30634,0
13627,24047,0
15020,10638,0
26524,2221,0
21791,34263,1
18932,51835,0
8050,7881,0
43023,28611,1
5816,20901,1
51894,28721,1
43488,4171,0
22725,13671,0
35869,38235,1
2484,31553,0
36948,23641,1
45507,32400,0
13789,44850,1
25955,44587,0
16194,49718,1
9086,1374,1
6287,15985,0
26546,20126,1
32397,34234,0
46193,37822,0
40335,43540,1
35688,50362,1
37622,29111,0
9369,52052,0
314,44372,0
42421,35672,1
13856,17931,0
47966,34327,0
330,26383,0
24628,15526,1
13064,42718,0
14675,28482,1
38397,36203,1
22773,28024,0
39200,44411,1
39616,33632,0
40922,24728,0
4992,28190,0
1099,46319,0
32768,49775,1
5048,33576,0
23084,31882,1
25139,26201,1
3667,31019,0
15264,48726,0
25641,50929,0
34064,38457,0
5072,47280,0
22567,5032,0
13200,24015,1
6696,11516,0
10375,34026,1
8086,12598,1
30929,37517,0
48550,10057,0
40960,19986,0
19281,10073,0
48721,24489,0
30728,11150,0
8390,1338,0
5023,20530,0
39486,47168,0
14209,45740,1
42610,24143,0
20005,43126,0
25688,40527,1
30527,35009,0
33008,43755,0
22519,42208,1
13895,4284,0
44498,15749,0
45153,22717,1
39792,9091,0
27033,4963,1
4808,51108,1
28728,27069,0
19057,23537,0
37635,24774,0
13704,41654,0
41571,26428,1
7336,3894,0
326,29233,0
30337,25738,1
9899,619,1
26974,7576,1
11485,3987,1
25014,35420,0
1033,47945,0
33379,37898,0
21801,13092,0
8730,10678,1
30134,6834,1
15938,19680,0
22401,34589,1
2187,52247,1
11661,37587,0
37293,23440,1
1609,29993,0
3957,19695,0
18952,42258,0
6619,45740,1
48686,18304,1
10093,18694,1
47344,27436,1
20452,42260,0
11792,35339,0
21221,8166,0
8773,48042,0
51304,23638,0
29516,27359,1
19389,6423,0
3967,14554,0
11196,33142,0
10740,48631,0
28256,12422,0
38126,47546,0
1856,17791,0
16968,13689,1
33648,10619,0
36156,11727,0
40231,37514,1
1583,38135,0
39297,9781,1
14962,42525,0
25111,27988,0
46246,24213,0
44738,2903,0
4406,26169,0
19730,43353,0
51558,43688,1
44967,5381,1
48952,15192,1
19394,13489,0
45850,31720,0
3488,6016,0
48613,1667,1
25477,44631,0
38484,469,0
5567,38953,1
12446,4499,1
12960,27077,0
15978,28204,1
35192,42421,1
48464,35437,0
51423,18284,0
43406,25348,0
35586,12890,1
21002,18069,0
20263,36644,0
5816,25909,1
4660,31278,0
28264,39918,1
32303,45740,1
19242,23475,0
41809,28803,0
12084,21898,1
20618,220,0
8528,36077,0
43586,40680,1
38432,26117,0
46786,51151,0
1110,31669,0
29486,13557,0
3680,45864,1
6785,23492,1
3024,37737,1
44504,19138,0
52101,51497,1
21456,50075,0
5957,10358,0
52311,28901,0
44425,44581,0
47399,51611,0
191,5474,0
34418,38158,0
39371,33068,1
43706,41812,1
18690,28668,0
9336,42647,1
32768,18530,0
32951,16528,1
47113,35811,1
10793,37805,0
8951,10229,0
47427,25643,0
9166,5511,0
5512,17224,1
26543,40608,0
46632,16845,0
17423,45872,0
34950,25737,0
32134,28881,0
47939,44148,0
31989,48304,1
40274,44857,0
36945,51910,0
5895,2230,1
40069,2634,0
28695,39040,0
40793,39788,0
32739,13537,0
46973,7444,1
45357,8225,0
19875,44463,0
42745,38465,0
19661,44806,1
10984,2237,0
51096,21757,0
28588,18014,0
16812,41624,1
14184,20440,1
38700,19550,0
26116,44062,1
19477,37293,0
30384,38325,0
19882,5102,1
21680,27309,1
35782,7865,0
15290,38826,1
39719,33102,1
11290,23230,1
24813,19883,1
8278,47975,1
51546,46286,1
15117,19769,1
23552,9786,1
3896,40057,0
610,38740,0
9743,24793,0
17134,20726,1
24711,33568,0
39899,9649,0
50836,24691,1
24068,5133,0
16868,17505,0
21988,22693,0
23885,22805,0
43960,21763,1
36690,30526,0
3845,47167,0
17926,40857,0
34279,43109,0
11033,7202,0
34531,40149,0
34399,28548,0
19991,10833,1
8000,48983,0
1892,35115,0
1710,35192,1
46147,22423,1
17512,38842,0
44375,39012,0
47609,792,0
51849,3215,0
31236,17407,0
25510,10,1
13635,4277,0
40899,49078,1
40506,44468,0
24160,14113,0
50899,37832,0
873,33900,0
3897,49923,1
37280,10926,0
17103,42347,1
42479,38278,1
32032,8840,0
24770,17372,0
26649,2185,0
7275,14547,0
29604,13261,0
42831,20536,1
23497,38617,0
43840,3657,0
3762,50476,1
18590,23414,0
25903,29509,1
1374,2501,1
5816,38751,1
3859,24345,0
10673,415,0
42030,16803,1
2040,30701,0
26486,21839,1
47246,24355,0
8115,37514,1
48776,2239,0
30813,42062,0
6557,10437,0
37514,50101,1
30115,20760,0
174,14743,1
33123,5923,0
16834,34086,0
21721,9967,1
16513,28285,0
4020,12861,0
31649,17383,0
36178,14829,0
52080,8135,1
31141,23062,0
28475,25709,0
14031,47769,0
16908,27097,1
18321,32522,1
50282,40127,0
3100,50897,0
41670,49938,0
39667,18797,0
7688,26592,1
20224,38846,0
41401,34572,0
34798,33491,1
13679,10452,1
35326,5023,0
6081,38389,0
12447,28808,0
34725,11156,1
47037,51572,0
36131,31904,0
45046,13015,1
12490,49219,1
46243,13675,0
9066,2192,1
44785,6944,1
7270,16486,1
45281,15051,1
7167,13733,1
5214,1397,0
45834,13886,0
29272,350,0
8753,40039,1
45089,34538,1
8994,43903,0
51931,47020,0
49805,44720,0
6152,23363,0
45258,16670,0
26562,50753,0
11186,35961,0
38250,865,0
9098,48461,0
42346,47283,1
46293,10678,0
4902,2383,1
34100,30992,0
8080,51312,0
18597,2419,0
23552,33129,1
31432,18944,1
3232,33465,0
47780,27373,0
51226,44496,1
37530,17858,1
16228,3708,0
37285,14430,0
8882,50009,0
50311,38148,0
23242,3177,1
3685,25738,1
16370,37911,0
37662,10354,0
48308,48089,1
30250,43562,1
47855,13591,0
33517,36076,0
52349,28598,0
50550,33543,0
13935,19521,0
7439,737,0
24664,13372,1
37008,20901,1
28565,46446,0
46583,4274,1
10845,2006,1
5934,1112,0
51680,16048,1
32781,43161,0
11046,27111,1
10974,27952,0
33379,42947,0
7725,1752,0
37702,15663,0
34525,23116,0
50655,30634,0
52078,13760,0
24813,35916,1
9121,11302,0
27691,3948,1
31989,43546,1
19598,26348,1
20266,7163,0
2160,13301,1
19657,40616,1
420,156,0
19886,38049,0
10330,40842,1
34423,20375,0
34862,920,1
38529,45113,0
51234,555,0
29833,5682,1
46132,48638,0
22328,31348,1
34231,12884,1
3480,42072,0
34479,48932,0
19895,23319,0
12639,48566,0
4265,52025,1
23085,27023,1
13161,41044,1
16494,9899,1
49244,32732,0
4902,43639,1
3862,35092,0
50411,21873,0
12872,36231,0
38669,45018,0
21365,11408,0
22838,40009,0
5416,19933,1
34535,9672,1
32802,145,0
3439,3395,1
27135,30713,0
45060,40185,0
46957,9150,0
1170,8713,0
16490,9673,0
20243,26507,0
31086,46602,0
15142,52177,1
9175,13498,1
33200,45103,0
38396,42200,1
14974,20379,0
22810,18920,0
12937,6898,0
48997,27621,1
34573,37091,0
31117,8920,0
3675,10,1
26230,47310,0
12283,23287,0
49053,45740,1
29529,8333,1
26674,47949,0
49804,18209,0
30943,16978,1
27023,27059,1
31928,25216,0
4345,32965,0
49896,16021,0
41698,4298,0
28479,32023,0
16042,23670,1
9781,46663,1
49743,18247,0
21309,36299,0
30270,41370,1
2978,30542,0
2141,38295,0
38268,20912,0
42990,26700,0
12754,32320,0
36156,49183,0
21759,30059,0
27018,439,0
7551,26846,0
21726,40285,0
29688,40812,0
36754,32246,0
27587,34363,0
178,6964,0
47669,18636,1
10511,43927,0
45808,14059,1
21264,19033,1
1704,18862,1
11415,48373,0
15175,29211,0
48138,47656,0
7484,2102,0
46481,9301,0
17968,38896,1
46693,34687,1
25470,14264,0
6255,20062,0
45592,3717,0
40472,33671,0
2059,46104,0
3351,23168,0
47763,18109,0
25684,28270,0
19042,49040,1
48504,39953,1
35366,573,0
22269,50875,1
31322,16781,0
43693,50387,0
35919,40186,1
996,10246,1
3589,37523,0
28962,48244,1
18306,28900,1
17722,149,1
